Front,Back,Tags
"transportar o distribuir algo hacia afuera, especialmente en agricultura (semillas, fertilizante)","<div class=""answer"">ausbringen</div><div class=""meta""><p><b>Significado:</b><br>transportar o distribuir algo hacia afuera, especialmente en agricultura (semillas, fertilizante)</p><div class=""example""><b>Ejemplo:</b><br>Ohne die Pferde wird es schwierig werden, denn wir können dann im Frühjahr keine Saat ausbringen.</div><div class=""translation""><b>Traducción:</b><br>Sin los caballos será difícil porque no podremos sembrar semillas en primavera.</div><p><b>Perfekt:</b><br>Er hat den Dünger ausgebracht.</p></div>",verb_prefix family::bringen prefix::aus separability::separable difficulty::b1 register::domain-specific source::wiktionary_openai quality::ok cardtype::translation_es_to_de
proveer algo (acusativo) a alguien (dativo),"<div class=""answer"">beibringen</div><div class=""meta""><p><b>Significado:</b><br>proveer, aportar</p><div class=""example""><b>Ejemplo:</b><br>Zum Glück konnte ich Zeugen für den Unfall beibringen.</div><div class=""translation""><b>Traducción:</b><br>Por suerte pude aportar testigos para el accidente.</div><p><b>Construcción:</b><br>etwas (Akkusativ) beibringen jemandem (Dativ)</p><p><b>Perfekt:</b><br>Ich habe dir Deutsch beigebracht.</p></div>",verb_prefix family::bringen prefix::bei separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::translation_es_to_de
"introducir, aportar (por ejemplo, beneficios)","<div class=""answer"">einbringen</div><div class=""meta""><p><b>Significado:</b><br>introducir, aportar (por ejemplo, beneficios)</p><div class=""example""><b>Ejemplo:</b><br>Das Schiff wurde in den Hafen eingebracht.</div><div class=""translation""><b>Traducción:</b><br>El barco fue introducido en el puerto.</div><p><b>Perfekt:</b><br>Sie hat viele Vorschläge eingebracht.</p></div>",verb_prefix family::bringen prefix::ein separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::translation_es_to_de
producir o realizar algo necesario o esperado,"<div class=""answer"">erbringen</div><div class=""meta""><p><b>Significado:</b><br>producir o realizar algo necesario o esperado</p><div class=""example""><b>Ejemplo:</b><br>Die Protestierenden wollen damit symbolisch ""ein Opfer für die Demokratie"" erbringen.</div><div class=""translation""><b>Traducción:</b><br>Los manifestantes quieren así simbolizar el ""sacrificio por la democracia"".</div><p><b>Perfekt:</b><br>Die Firma hat die vereinbarten Dienstleistungen erbracht.</p></div>",verb_prefix family::bringen prefix::er separability::inseparable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::translation_es_to_de
transitivo + objeto acusativo,"<div class=""answer"">fortbringen</div><div class=""meta""><p><b>Significado:</b><br>transportar o retirar algo</p><div class=""example""><b>Ejemplo:</b><br>Die Fernsehstation war inzwischen besetzt worden und die gesamte Ausrüstung wurde fortgebracht.</div><div class=""translation""><b>Traducción:</b><br>La estación de televisión había sido ocupada y todo el equipo fue retirado.</div><p><b>Perfekt:</b><br>Die Firma hat die Ausrüstung fortgebracht.</p></div>",verb_prefix family::bringen prefix::fort separability::separable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::translation_es_to_de
traer algo hacia el hablante,"<div class=""answer"">herbringen</div><div class=""meta""><p><b>Significado:</b><br>traer algo hacia el hablante</p><div class=""example""><b>Ejemplo:</b><br>Bring mir mal das Bier her!</div><div class=""translation""><b>Traducción:</b><br>¡Tráeme la cerveza aquí!</div><p><b>Perfekt:</b><br>du hast hergebracht</p></div>",verb_prefix family::bringen prefix::her separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::translation_es_to_de
transportar algo a un lugar,"<div class=""answer"">hinbringen</div><div class=""meta""><p><b>Significado:</b><br>transportar algo a un lugar</p><div class=""example""><b>Ejemplo:</b><br>Kannst du das Päckchen zum Bahnhof hinbringen?</div><div class=""translation""><b>Traducción:</b><br>¿Puedes llevar el paquete a la estación?</div><p><b>Perfekt:</b><br>Du hast das Päckchen zum Bahnhof hingebracht.</p></div>",verb_prefix family::bringen prefix::hin separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::translation_es_to_de
entregar a alguien algo que ha olvidado o dejado atrás,"<div class=""answer"">nachbringen</div><div class=""meta""><p><b>Significado:</b><br>entregar a alguien algo que ha olvidado o dejado atrás</p><div class=""example""><b>Ejemplo:</b><br>Der Kellner war so freundlich, mir meinen vergessenen Schirm gleich nachzubringen.</div><div class=""translation""><b>Traducción:</b><br>El camarero fue tan amable que me trajo inmediatamente mi paraguas olvidado.</div><p><b>Construcción:</b><br>nachbringen + Akkusativobjekt (etwas) + Dativobjekt (jemandem)</p><p><b>Perfekt:</b><br>Der Kellner hat mir meinen Schirm nachgebracht.</p></div>",verb_prefix family::bringen prefix::nach separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::translation_es_to_de
pasar tiempo,"<div class=""answer"">verbringen</div><div class=""meta""><p><b>Significado:</b><br>pasar tiempo</p><div class=""example""><b>Ejemplo:</b><br>Er hat den Sommer am Meer verbracht.</div><div class=""translation""><b>Traducción:</b><br>Él pasó el verano en el mar.</div><p><b>Construcción:</b><br>verbringen + Akkusativ (Zeit)</p><p><b>Perfekt:</b><br>Er hat den Sommer am Meer verbracht.</p></div>",verb_prefix family::bringen prefix::ver separability::inseparable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::translation_es_to_de
"llevarse algo, quitar algo","<div class=""answer"">wegbringen</div><div class=""meta""><p><b>Significado:</b><br>llevarse algo, quitar algo</p><div class=""example""><b>Ejemplo:</b><br>Kannst du bitte das Altpapier wegbringen?</div><div class=""translation""><b>Traducción:</b><br>¿Puedes por favor llevarte el papel viejo?</div><p><b>Perfekt:</b><br>Sie hat den Müll weggebracht.</p></div>",verb_prefix family::bringen prefix::weg separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::translation_es_to_de
