Front,Back,Tags
ausbringen,"<div class=""answer"">transportar o distribuir algo hacia afuera, especialmente en agricultura (semillas, fertilizante)</div><div class=""meta""><div class=""example""><b>Ejemplo:</b><br>Ohne die Pferde wird es schwierig werden, denn wir können dann im Frühjahr keine Saat ausbringen.</div><div class=""translation""><b>Traducción:</b><br>Sin los caballos será difícil porque no podremos sembrar semillas en primavera.</div><p><b>Perfekt:</b><br>Er hat den Dünger ausgebracht.</p></div>",verb_prefix family::bringen prefix::aus separability::separable difficulty::b1 register::domain-specific source::wiktionary_openai quality::ok cardtype::translation_de_to_es
beibringen,"<div class=""answer"">proveer, aportar</div><div class=""meta""><div class=""example""><b>Ejemplo:</b><br>Zum Glück konnte ich Zeugen für den Unfall beibringen.</div><div class=""translation""><b>Traducción:</b><br>Por suerte pude aportar testigos para el accidente.</div><p><b>Construcción:</b><br>etwas (Akkusativ) beibringen jemandem (Dativ)</p><p><b>Perfekt:</b><br>Ich habe dir Deutsch beigebracht.</p></div>",verb_prefix family::bringen prefix::bei separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::translation_de_to_es
einbringen,"<div class=""answer"">introducir, aportar (por ejemplo, beneficios)</div><div class=""meta""><div class=""example""><b>Ejemplo:</b><br>Das Schiff wurde in den Hafen eingebracht.</div><div class=""translation""><b>Traducción:</b><br>El barco fue introducido en el puerto.</div><p><b>Perfekt:</b><br>Sie hat viele Vorschläge eingebracht.</p></div>",verb_prefix family::bringen prefix::ein separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::translation_de_to_es
erbringen,"<div class=""answer"">producir o realizar algo necesario o esperado</div><div class=""meta""><div class=""example""><b>Ejemplo:</b><br>Die Protestierenden wollen damit symbolisch ""ein Opfer für die Demokratie"" erbringen.</div><div class=""translation""><b>Traducción:</b><br>Los manifestantes quieren así simbolizar el ""sacrificio por la democracia"".</div><p><b>Perfekt:</b><br>Die Firma hat die vereinbarten Dienstleistungen erbracht.</p></div>",verb_prefix family::bringen prefix::er separability::inseparable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::translation_de_to_es
fortbringen,"<div class=""answer"">transportar o retirar algo</div><div class=""meta""><div class=""example""><b>Ejemplo:</b><br>Die Fernsehstation war inzwischen besetzt worden und die gesamte Ausrüstung wurde fortgebracht.</div><div class=""translation""><b>Traducción:</b><br>La estación de televisión había sido ocupada y todo el equipo fue retirado.</div><p><b>Perfekt:</b><br>Die Firma hat die Ausrüstung fortgebracht.</p></div>",verb_prefix family::bringen prefix::fort separability::separable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::translation_de_to_es
herbringen,"<div class=""answer"">traer algo hacia el hablante</div><div class=""meta""><div class=""example""><b>Ejemplo:</b><br>Bring mir mal das Bier her!</div><div class=""translation""><b>Traducción:</b><br>¡Tráeme la cerveza aquí!</div><p><b>Perfekt:</b><br>du hast hergebracht</p></div>",verb_prefix family::bringen prefix::her separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::translation_de_to_es
hinbringen,"<div class=""answer"">transportar algo a un lugar</div><div class=""meta""><div class=""example""><b>Ejemplo:</b><br>Kannst du das Päckchen zum Bahnhof hinbringen?</div><div class=""translation""><b>Traducción:</b><br>¿Puedes llevar el paquete a la estación?</div><p><b>Perfekt:</b><br>Du hast das Päckchen zum Bahnhof hingebracht.</p></div>",verb_prefix family::bringen prefix::hin separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::translation_de_to_es
mitbringen,"<div class=""answer"">traer</div><div class=""meta""><div class=""example""><b>Ejemplo:</b><br>Würdest du mir bitte etwas aus der Stadt mitbringen?</div><div class=""translation""><b>Traducción:</b><br>¿Podrías traerme algo de la ciudad, por favor?</div><p><b>Perfekt:</b><br>Er hat seine Gitarre mitgebracht.</p></div>",verb_prefix family::bringen prefix::mit separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::translation_de_to_es
nachbringen,"<div class=""answer"">entregar a alguien algo que ha olvidado o dejado atrás</div><div class=""meta""><div class=""example""><b>Ejemplo:</b><br>Der Kellner war so freundlich, mir meinen vergessenen Schirm gleich nachzubringen.</div><div class=""translation""><b>Traducción:</b><br>El camarero fue tan amable que me trajo inmediatamente mi paraguas olvidado.</div><p><b>Construcción:</b><br>nachbringen + Akkusativobjekt (etwas) + Dativobjekt (jemandem)</p><p><b>Perfekt:</b><br>Der Kellner hat mir meinen Schirm nachgebracht.</p></div>",verb_prefix family::bringen prefix::nach separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::translation_de_to_es
verbringen,"<div class=""answer"">pasar tiempo</div><div class=""meta""><div class=""example""><b>Ejemplo:</b><br>Er hat den Sommer am Meer verbracht.</div><div class=""translation""><b>Traducción:</b><br>Él pasó el verano en el mar.</div><p><b>Construcción:</b><br>verbringen + Akkusativ (Zeit)</p><p><b>Perfekt:</b><br>Er hat den Sommer am Meer verbracht.</p></div>",verb_prefix family::bringen prefix::ver separability::inseparable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::translation_de_to_es
