Front,Back,Tags
"Completa la frase:<br><br>Ohne die Pferde wird es schwierig werden, denn wir können dann im Frühjahr keine Saat ___.","<div class=""answer"">ausbringen</div><div class=""meta""><p><b>Significado:</b><br>transportar o distribuir algo hacia afuera, especialmente en agricultura (semillas, fertilizante)</p><div class=""example""><b>Ejemplo:</b><br>Ohne die Pferde wird es schwierig werden, denn wir können dann im Frühjahr keine Saat ausbringen.</div><div class=""translation""><b>Traducción:</b><br>Sin los caballos será difícil porque no podremos sembrar semillas en primavera.</div><p><b>Separabilidad:</b><br>separable — bringt ... aus — ausgebracht</p><p><b>Perfekt:</b><br>Er hat den Dünger ausgebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/ausbringen</p></div>",verb_prefix family::bringen prefix::aus separability::separable difficulty::b1 register::domain-specific source::wiktionary_openai quality::ok cardtype::context_cloze
Completa la frase:<br><br>Zum Glück konnte ich Zeugen für den Unfall ___.,"<div class=""answer"">beibringen</div><div class=""meta""><p><b>Significado:</b><br>proveer, aportar</p><div class=""example""><b>Ejemplo:</b><br>Zum Glück konnte ich Zeugen für den Unfall beibringen.</div><div class=""translation""><b>Traducción:</b><br>Por suerte pude aportar testigos para el accidente.</div><p><b>Construcción:</b><br>etwas (Akkusativ) beibringen jemandem (Dativ)</p><p><b>Construcción ES:</b><br>proveer algo (acusativo) a alguien (dativo)</p><p><b>Separabilidad:</b><br>separable — bringt ... bei — beigebracht</p><p><b>Perfekt:</b><br>Ich habe dir Deutsch beigebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/beibringen</p></div>",verb_prefix family::bringen prefix::bei separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::context_cloze
Completa la frase:<br><br>Das Schiff wurde in den Hafen ___.,"<div class=""answer"">eingebracht</div><div class=""meta""><p><b>Significado:</b><br>introducir, aportar (por ejemplo, beneficios)</p><div class=""example""><b>Ejemplo:</b><br>Das Schiff wurde in den Hafen eingebracht.</div><div class=""translation""><b>Traducción:</b><br>El barco fue introducido en el puerto.</div><p><b>Separabilidad:</b><br>separable — bringt ... ein — eingebracht</p><p><b>Perfekt:</b><br>Sie hat viele Vorschläge eingebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/einbringen</p></div>",verb_prefix family::bringen prefix::ein separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::context_cloze
"Completa la frase:<br><br>Die Protestierenden wollen damit symbolisch ""ein Opfer für die Demokratie"" ___.","<div class=""answer"">erbringen</div><div class=""meta""><p><b>Significado:</b><br>producir o realizar algo necesario o esperado</p><div class=""example""><b>Ejemplo:</b><br>Die Protestierenden wollen damit symbolisch ""ein Opfer für die Demokratie"" erbringen.</div><div class=""translation""><b>Traducción:</b><br>Los manifestantes quieren así simbolizar el ""sacrificio por la democracia"".</div><p><b>Separabilidad:</b><br>inseparable — erbringt — erbracht</p><p><b>Perfekt:</b><br>Die Firma hat die vereinbarten Dienstleistungen erbracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/erbringen</p></div>",verb_prefix family::bringen prefix::er separability::inseparable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::context_cloze
Completa la frase:<br><br>Die gesamte Ausrüstung wurde ___ .,"<div class=""answer"">fortgebracht</div><div class=""meta""><p><b>Significado:</b><br>transportar o retirar algo</p><div class=""example""><b>Ejemplo:</b><br>Die Fernsehstation war inzwischen besetzt worden und die gesamte Ausrüstung wurde fortgebracht.</div><div class=""translation""><b>Traducción:</b><br>La estación de televisión había sido ocupada y todo el equipo fue retirado.</div><p><b>Separabilidad:</b><br>separable — bringt ... fort — fortgebracht</p><p><b>Perfekt:</b><br>Die Firma hat die Ausrüstung fortgebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/fortbringen</p></div>",verb_prefix family::bringen prefix::fort separability::separable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::context_cloze
Completa la frase:<br><br>Bring mir mal das Bier ___!,"<div class=""answer"">her</div><div class=""meta""><p><b>Significado:</b><br>traer algo hacia el hablante</p><div class=""example""><b>Ejemplo:</b><br>Bring mir mal das Bier her!</div><div class=""translation""><b>Traducción:</b><br>¡Tráeme la cerveza aquí!</div><p><b>Separabilidad:</b><br>separable — bringt ... her — hergebracht</p><p><b>Perfekt:</b><br>du hast hergebracht</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/herbringen</p></div>",verb_prefix family::bringen prefix::her separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::context_cloze
Completa la frase:<br><br>Kannst du das Päckchen zum Bahnhof ___?,"<div class=""answer"">hinbringen</div><div class=""meta""><p><b>Significado:</b><br>transportar algo a un lugar</p><div class=""example""><b>Ejemplo:</b><br>Kannst du das Päckchen zum Bahnhof hinbringen?</div><div class=""translation""><b>Traducción:</b><br>¿Puedes llevar el paquete a la estación?</div><p><b>Separabilidad:</b><br>separable — bringst ... hin — hingebracht</p><p><b>Perfekt:</b><br>Du hast das Päckchen zum Bahnhof hingebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/hinbringen</p></div>",verb_prefix family::bringen prefix::hin separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::context_cloze
Completa la frase:<br><br>Würdest du mir bitte etwas aus der Stadt ___?,"<div class=""answer"">mitbringen</div><div class=""meta""><p><b>Significado:</b><br>traer</p><div class=""example""><b>Ejemplo:</b><br>Würdest du mir bitte etwas aus der Stadt mitbringen?</div><div class=""translation""><b>Traducción:</b><br>¿Podrías traerme algo de la ciudad, por favor?</div><p><b>Separabilidad:</b><br>separable — bringt ... mit — mitgebracht</p><p><b>Perfekt:</b><br>Er hat seine Gitarre mitgebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/mitbringen</p></div>",verb_prefix family::bringen prefix::mit separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::context_cloze
"Completa la frase:<br><br>Der Kellner war so freundlich, mir meinen vergessenen Schirm gleich ___.","<div class=""answer"">nachzubringen</div><div class=""meta""><p><b>Significado:</b><br>entregar a alguien algo que ha olvidado o dejado atrás</p><div class=""example""><b>Ejemplo:</b><br>Der Kellner war so freundlich, mir meinen vergessenen Schirm gleich nachzubringen.</div><div class=""translation""><b>Traducción:</b><br>El camarero fue tan amable que me trajo inmediatamente mi paraguas olvidado.</div><p><b>Construcción:</b><br>nachbringen + Akkusativobjekt (etwas) + Dativobjekt (jemandem)</p><p><b>Construcción ES:</b><br>nachbringen + objeto acusativo (algo) + objeto dativo (a alguien)</p><p><b>Separabilidad:</b><br>separable — bringt ... nach — nachgebracht</p><p><b>Perfekt:</b><br>Der Kellner hat mir meinen Schirm nachgebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/nachbringen</p></div>",verb_prefix family::bringen prefix::nach separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::context_cloze
Completa la frase:<br><br>Er hat den Sommer am Meer ___ .,"<div class=""answer"">verbracht</div><div class=""meta""><p><b>Significado:</b><br>pasar tiempo</p><div class=""example""><b>Ejemplo:</b><br>Er hat den Sommer am Meer verbracht.</div><div class=""translation""><b>Traducción:</b><br>Él pasó el verano en el mar.</div><p><b>Construcción:</b><br>verbringen + Akkusativ (Zeit)</p><p><b>Construcción ES:</b><br>verbringen + acusativo (tiempo)</p><p><b>Separabilidad:</b><br>inseparable — verbringt — verbracht</p><p><b>Perfekt:</b><br>Er hat den Sommer am Meer verbracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/verbringen</p></div>",verb_prefix family::bringen prefix::ver separability::inseparable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::context_cloze
